week_start,year,week,unweighted_ili,ilitotal,num_of_providers,total_patients
2010-10-03,2010,40,1.95412,632,112,32342
2010-10-10,2010,41,2.15266,742,122,34469
2010-10-17,2010,42,2.24173,766,126,34170
2010-10-24,2010,43,1.91748,666,130,34733
2010-10-31,2010,44,2.52326,887,131,35153
2010-11-07,2010,45,2.74562,906,126,32998
2010-11-14,2010,46,2.81963,1020,131,36175
2010-11-21,2010,47,3.16132,729,134,23060
2010-11-28,2010,48,2.60631,939,135,36028
2010-12-05,2010,49,3.05613,1072,135,35077
2010-12-12,2010,50,3.6598,1170,128,31969
2010-12-19,2010,51,4.62077,1057,127,22875
2010-12-26,2010,52,4.6895,916,125,19533
2011-01-02,2011,1,3.56213,1190,129,33407
2011-01-09,2011,2,3.79325,1354,132,35695
2011-01-16,2011,3,4.02689,1324,130,32879
2011-01-23,2011,4,4.60501,1768,132,38393
2011-01-30,2011,5,4.33983,1747,133,40255
2011-02-06,2011,6,4.88711,1987,138,40658
2011-02-13,2011,7,5.07162,2036,136,40145
2011-02-20,2011,8,5.17402,1775,134,34306
2011-02-27,2011,9,5.00087,2007,138,40133
2011-03-06,2011,10,4.69447,1853,136,39472
2011-03-13,2011,11,4.4379,1598,134,36008
2011-03-20,2011,12,3.29703,1111,127,33697
2011-03-27,2011,13,3.2,1160,131,36250
2011-04-03,2011,14,2.64683,927,121,35023
2011-04-10,2011,15,2.57193,918,120,35693
2011-04-17,2011,16,2.24199,736,119,32828
2011-04-24,2011,17,2.34436,784,112,33442
2011-05-01,2011,18,2.14632,734,111,34198
2011-05-08,2011,19,2.05279,672,110,32736
2011-05-15,2011,20,2.13285,700,113,32820
2011-05-22,2011,21,2.10667,583,94,27674
2011-05-29,2011,22,2.5765,581,91,22550
2011-06-05,2011,23,2.26424,588,87,25969
2011-06-12,2011,24,1.84762,461,88,24951
2011-06-19,2011,25,1.73298,436,88,25159
2011-06-26,2011,26,1.67684,426,80,25405
2011-07-03,2011,27,1.68774,343,82,20323
2011-07-10,2011,28,1.60432,383,84,23873
2011-07-17,2011,29,1.45437,327,78,22484
2011-07-24,2011,30,1.35141,303,79,22421
2011-07-31,2011,31,0.553292,91,74,16447
2011-08-07,2011,32,1.35688,295,80,21741
2011-08-14,2011,33,1.1637,284,82,24405
2011-08-21,2011,34,1.34833,350,83,25958
2011-08-28,2011,35,1.47857,376,79,25430
2011-09-04,2011,36,1.60215,322,77,20098
2011-09-11,2011,37,1.74891,420,76,24015
2011-09-18,2011,38,1.75994,445,74,25285
2011-09-25,2011,39,1.84745,474,73,25657
2011-10-02,2011,40,1.80295,568,116,31504
2011-10-09,2011,41,2.06534,703,122,34038
2011-10-16,2011,42,2.38294,801,116,33614
2011-10-23,2011,43,2.29128,797,118,34784
2011-10-30,2011,44,2.48358,866,125,34869
2011-11-06,2011,45,2.1744,784,127,36056
2011-11-13,2011,46,2.6274,992,123,37756
2011-11-20,2011,47,2.51216,594,125,23645
2011-11-27,2011,48,1.6858,511,125,30312
2011-12-04,2011,49,2.7037,883,128,32659
2011-12-11,2011,50,3.02135,951,127,31476
2011-12-18,2011,51,3.60781,843,121,23366
2011-12-25,2011,52,4.3531,718,117,16494
2012-01-01,2012,1,3.50589,854,122,24359
2012-01-08,2012,2,2.94298,958,124,32552
2012-01-15,2012,3,2.73705,855,125,31238
2012-01-22,2012,4,3.53247,1224,126,34650
2012-01-29,2012,5,3.85357,1359,129,35266
2012-02-05,2012,6,3.29788,1265,130,38358
2012-02-12,2012,7,3.57343,1278,130,35764
2012-02-19,2012,8,4.20562,1300,125,30911
2012-02-26,2012,9,3.54025,1253,127,35393
2012-03-04,2012,10,2.69266,812,128,30156
2012-03-11,2012,11,3.12447,920,128,29445
2012-03-18,2012,12,2.83205,819,124,28919
2012-03-25,2012,13,3.89886,1229,127,31522
2012-04-01,2012,14,2.99164,952,120,31822
2012-04-08,2012,15,2.87193,927,118,32278
2012-04-15,2012,16,2.15102,717,116,33333
2012-04-22,2012,17,2.15365,693,113,32178
2012-04-29,2012,18,2.36106,732,107,31003
2012-05-06,2012,19,2.17778,673,99,30903
2012-05-13,2012,20,2.04531,613,94,29971
2012-05-20,2012,21,2.22589,593,91,26641
2012-05-27,2012,22,2.21439,465,89,20999
2012-06-03,2012,23,2.01533,497,88,24661
2012-06-10,2012,24,1.81274,466,88,25707
2012-06-17,2012,25,2.03814,482,85,23649
2012-06-24,2012,26,1.875,411,80,21920
2012-07-01,2012,27,1.93357,365,81,18877
2012-07-08,2012,28,1.82661,390,74,21351
2012-07-15,2012,29,1.69307,357,76,21086
2012-07-22,2012,30,1.68499,354,76,21009
2012-07-29,2012,31,1.75422,362,77,20636
2012-08-05,2012,32,1.61435,343,74,21247
2012-08-12,2012,33,1.07686,160,70,14858
2012-08-19,2012,34,1.88368,411,73,21819
2012-08-26,2012,35,2.0159,525,74,26043
2012-09-02,2012,36,2.3227,543,76,23378
2012-09-09,2012,37,2.2445,627,75,27935
2012-09-16,2012,38,2.43955,678,73,27792
2012-09-23,2012,39,2.40973,656,69,27223
2012-09-30,2012,40,2.10133,720,123,34264
2012-10-07,2012,41,2.26502,781,123,34481
2012-10-14,2012,42,2.35697,840,126,35639
2012-10-21,2012,43,2.37177,812,122,34236
